,model,map_model_name
481,CEFIRO 350JM,CEFIRO
482,KR.SKF2MN VANETTE,VANETTE
483,SERENA LX,SERENA
484,CARAVAN VWE25,CARAVAN
485,CARAVAN VRMGE24,CARAVAN
486,CARAVAN VRE24,CARAVAN
487,DAA-HNT32 X TRAIL,X-TRAIL
488,VANETTE 4WD,VANETTE
489,SUNNY SB 12,SUNNY
490,WB12FU-SUNNY,SUNNY
491,KQ-SKF2TN,VANETTE
492,DAB-Y12 WINGROAD,WINGROAD
493,PULSAR SRV,PULSAR
494,B21W-0621227,DAYZ
495,DBF-VM20 GX,VANETTE
496,MBD-DR1TV CLIPPER,CLIPPER
497,DBA-SC11 TIIDA LATIO,TIIDA
498,PRESSIA,PRESEA
499,K11,MARCH
500,VANETTE VUJC 2,VANETTE
501,SUNNY 1.5,SUNNY
502,ABA-DR17W CLIPPER RIO,CLIPPER
503,GBD-U72T FREEZER,CLIPPER
504,VW25E26 CARAVAN,CARAVAN
505,CARAVAN VYGE24,CARAVAN
506,MARCH AK12,MARCH
507,CARAVAN  VYGE23,CARAVAN
508,KQ SKF2TN VANETTE,VANETTE
509,PULSUR SN15,PULSAR
510,KB-VUJC22,VANETTE
511,GBD-U717,CLIPPER
512,PULSAR-FN14,PULSAR
513,KR SKF2LN,VANETTE
514,DBF-VM20 VANNET,VANETTE
515,N- CRGE24,CARAVAN
516,ADF-VWME25 CARAVAN,CARAVAN
517,CARAVAN FOUR DOORS,CARAVAN
518,SU14 BLUEBIRD,BLUEBIRD
519,GBD-U71V NV100,NV100
520,HBD-DR17V NV100,NV100
521,NV200(DBF-VM20),VANETTE
522,UA-FB15 SUNNY,SUNNY
523,E-FNB13,SUNNY
524,TA-T30-JEEP,X-TRAIL
525,HBD.DR64V NV100,NV100
526,KR-DWGE25,CARAVAN
527,WB12 SUNNY,SUNNY
528,FRONTIER NAVARA,NAVARA
529,LE-U7IT CLIPPER,CLIPPER
530,CARAVAN ARGE24,CARAVAN
531,X TRAIL LDA-DNT31,X-TRAIL
532,SUNNY-UA-FB15,SUNNY
533,U-VRE24,CARAVAN
534,HU14,BLUEBIRD
535,CBA-SGE25 CARAVAN,CARAVAN
536,AD WAGON TB-VY11,AD WAGON
537,CARAVAN  CYGE24,CARAVAN
538,LDF-VWME25 CARAVAN,CARAVAN
539,GF-FN15,PULSAR
540,SUNNY VIP A,SUNNY
541,TEANA,TEANA
542,GF-FB15,SUNNY
543,SUNNY LE 1.6 A,SUNNY
544,NAVARA PLATIONUM,NAVARA
545,VENATTE,VANETTE
546,CRGE-24,CARAVAN
547,Q-ARGE24,CARAVAN
548,EBD-DR16T CLIPPER,CLIPPER
549,ABA-DR17W-NV100,NV100
550,B14,SUNNY
551,SERINA VX,SERENA
552,KG-CWMGE25,CARAVAN
553,DBA-B21W,DAYZ
554,SUNNY 1.6 EXA,SUNNY
555,HBD-DR64V DX,CLIPPER
556,CBAFG10BLUEBIRDSYLPH,BLUEBIRD
557,DBA-T31,X-TRAIL
558,NAVARA EXPEDITION,NAVARA
559,K11-1Z MARCH,MARCH
560,CARAVAN KG-VWMGE24,CARAVAN
561,DOUBLE CAB KC-LRMD2,DOUBLE CAB
562,KC-VWGE24,CARAVAN
563,BAAB14-SUNNY,SUNNY
564,WHB12-SUNNY,SUNNY
565,BLUEBIRD 1.5,BLUEBIRD
566,HBD-DR64 CLIPPER,CLIPPER
567,DBA-K-13 MARCH,MARCH
568,E-HK11,MARCH
569,CBD-U71T CLIPPER,CLIPPER
570,SU13BLUEB1RD,BLUEBIRD
571,LDF-CWMGE25,CARAVAN
572,KUGC22,VANETTE
573,DBA-TB17 SILPHY,SYLPHY
574,X-TRAL UA-NT30,X-TRAIL
575,SUNNY GF FB15,SUNNY
576,CARAVAN-KRGE24,CARAVAN
577,CARAVAN DRGE24,CARAVAN
578,MARCH HK11,MARCH
579,VANETTE C22,VANETTE
580,VANETTE VUC22,VANETTE
581,SUNNY QB15,SUNNY
582,CLIPPER U71V,CLIPPER
583,DBA-AK12 MARCH,MARCH
584,GF-FB15,SUNNY
585,CARAVAN CSGE25,CARAVAN
586,X TRAIL HT32,X-TRAIL
587,WINGROAD DBA Y12,WINGROAD
588,SERENA VAJC23,SERENA
589,KR-CWGE25 CARAVAN,CARAVAN
590,CARAVAN VWE24,CARAVAN
591,FB14 PETROL - AUTO,SUNNY
591,FB14,SUNNY
592,HOMY,CARAVAN
593,CARAVAN VWGE 24,CARAVAN
