,model,map_model_name
257,CELERIO X ZXI (O),CELERIO
258,DAA-MH55S WAGON R HYBRID FZ,WAGON R FZ
259,ABA-DA17W (EVERY),EVERY
260,DBA-HA24S,ALTO
261,DAA-MK53S SPACIA CUSTOM,SPACIA
262,SA 310 GL,SPACIA
263,DAA MK42S CUSTOM GS,SPACIA
264,GDDA52V,EVERY
265,EBD-DA64,EVERY
266,ALTO L,ALTO
267,HBD- EVERY,EVERY
268,EBD-DA17W,EVERY
269,HBD-KDA64V EVERY,EVERY
270,EBD-DA17V / EVERY,EVERY
271,WAGON R-TURBO,WAGON R
272,GA-DA52V,EVERY
273,DAA-MH44S WAGON R FZ,WAGON R FZ
274,WAGON R STTINGRAY T,WAGON R
275,PC MODEL EVERY VAN,EVERY
276,WAGON R HYBRID DAA . MH44S,WAGON R
277,DBA-MH34S WAGON R,WAGON R
278,DAA-MH44S J STYLE,WAGON R
279,DAA-MH44S WAGON R FX LIMITED,WAGON R FX
280,DAA-MK42S (SPACIA CUSTOM),SPACIA
281,DA64V,EVERY
282,DAA-MH55S WAGON R,WAGON R
283,ALTO RS,ALTO
284,DAA - ZC53S SWIFT,SWIFT
285,MH55S WAGON - R,WAGON R
286,FX,WAGON R FX SAFETY
287,MK53S SPACIA HYBRID,SPACIA
288,DAA-MH55S WAGON R FXD,WAGON R FX
289,DBA-ZC71S SWIFT,SWIFT
290,GH-HT51S,SWIFT
291,DAA-MH55S-WSTB-AJ,WAGON R FX
292,SWIFT RS,SWIFT
293,EVERY JOIN,EVERY
294,SPACIA XS TURBO CUSTOM,SPACIA
295,DBA-HA35S ALTO,ALTO
296,WAGON R HYBRID FZ SAFETY,WAGON R FZ SAFETY
297,CELERIOX ZXI(O) AGS,CELERIO
298,DAA-ZC 53S SWIFT,SWIFT
299,DAA-MK42S(SPACIA XS TURBO HYBRID),SPACIA
300,CELERIO X ZXI (O) AGS,CELERIO
301,DAA-MK42S SPACIA HYBRID,SPACIA
302,HBD-DA17V EVERY VAN,EVERY
303,WAGONR STINGRAY HYBRID,WAGON R
304,DAA-MH55S HYBRID,WAGON R
305,DAA-MH44S WAGON R STINGRAY,WAGON R STINGRAY
306,ABA-DA17W WAGON,WAGON R
307,SS40,WAGON R
308,DBA-HA25S ALTO,ALTO
309,STINGRAY TURBO,WAGON R
310,WAGON R STINGRAY T / DAA-MH55S,WAGON R STINGRAY
311,DAA-MH55S WAGON R HYBRID FX NON SAFETY,WAGON R FX
312,DAA-ZC43S SWIFT,SWIFT
313,WIDE,WIDE
314,GBD-HA24V ALTO,ALTO
315,WAGON R FX NON SAFETY,WAGON R FX
316,DBA-ZC11S SWIFT,SWIFT
317,WAGON R STINGRAY X (DAA-MH55S),WAGON R STINGRAY
318,SWIFT RS TURBO,SWIFT
319,ACTO,ALTO
320,DAA-MH44 S WAGONR C,WAGON R
321,HBD-DA64V EVERY JOIN,EVERY
322,DAA-MK53S SPACIA HYBRID,SPACIA
323,DBA-MH55S,WAGON R
324,HBD-DA17V EVERY JOIN VAN,EVERY
325,WAGON R FZ SAFETY DAA-MH55S,WAGON R FZ SAFETY
326,DBA-ZC72S SWIFT,SWIFT
327,VITARA SZ-T,VITARA
328,ABD-DA17W,EVERY
329,GD-DA52V,EVERY
330,STINGRAY HYBRID,WAGON R
331,DAA-ZC43S,SWIFT
332,WAGON R X (DAA-MH55S),WAGON R
333,DAA-MK42S SPACIA CUSTOM Z HYBRID,SPACIA
334,DAA-MH55S WAGON R HYBRID (STINGRAY),WAGON R
335,JIMNY JEEP,JIMNY
336,DBA-ZC53S,SWIFT
337,ABA-DA17W EVERY WAGO,EVERY
338,EVERY CARGO,EVERY
339,SJ41-DN,JIMNY
340,BALINO,BALENO
341,GRAND VITARA 2.0VVT,GRAND VITARA
342,SWIFT-GLX,SWIFT
343,DBA-HA36S ALTO WORKS,ALTO
344,CULTUS AB44S,CULTUS
345,DBSA-HA36S,ALTO
346,DBA-MH35S WAGONR,WAGON R
347,HBD-DR17V EVERY,EVERY
348,LIANA 1.3M4,LIANA
349,DBH-HA36S ALTO,ALTO
350,DAA-MH55S WAGON R,WAGON R
351,EBD-A464V EVERY,EVERY
352,EVERY ABA-DA64W,EVERY
353,CD-DA52V,EVERY
354,BALENO 1.0 LTR GLX 6,BALENO
355,DAA-MH5S WAGON R,WAGON R
356,EBD-DA64V CLIPPER,EVERY
357,DBA-ZC13S SWIFT RST,SWIFT
358,LIYANA SEDAN,LIANA
359,DAA-MK42S SPACIA,SPACIA
360,CULTUS (GF GC21S),CULTUS
361,GD-DB52V,EVERY
362,BALENO ZETA,BALENO
363,CBA-MH21S,WAGON R
364,HBD-DA17,EVERY
365,SWIFT 1.5 OL,SWIFT
366,DBA-HA36S ALTO,ALTO
367,LIANA 1.3 M,LIANA
368,CBA-HA245,ALTO
369,GD-DB52V EVERY,EVERY
370,GD-DA52V,EVERY
371,DBI-HA24S,ALTO
372,DBA-HE33S,ALTO
373,WAGON R FX MH55S,WAGON R FX
374,LA-MA34S SOLIO,WAGON R
375,DBA-HA36S-RS TURBO,ALTO
376,STINGRAY VXI0,MARUTI
377,LA-HT51S SWIFT,SWIFT
378,SWIFT Z XI,SWIFT
379,SWIFT UA-HT51S,SWIFT
380,BALENO GL,BALENO
381,ABA-DA64V EVERY,EVERY
382,SWIFT- GLX,SWIFT
383,DAA-MK53S SPACIA,SPACIA
384,SWIFT ZC71S,SWIFT
385,EVERY DA64V,EVERY
386,EVERY DA17V,EVERY
387,FBD.DA64V EVERY,EVERY
388,DAA-MH44 WAGON R,WAGON R
389,EBD-DA64V,EVERY
390,ABA-DA17W EVERY WAGON,EVERY
391,CBA-WB42S BALENO,BALENO
392,EVERY TRUCK,EVERY
393,CBA-ZC31S SWIFT,SWIFT
394,BALENO ZETA,BALENO
395,HBD-DA17V EVERY (WAGON),EVERY
396,VITARA XZ-T,VITARA
397,DAA-MH555 WAGON R ST,WAGON R
398,DAA-MH44S WAGON R,WAGON R
399,UA-HA23S,ALTO
400,DAA-ZC53S SWIFT,SWIFT
401,DAA-MK 53 S,SPACIA
402,HBD-HA25V ALTO,ALTO
403,HBD-D17V EVERY,EVERY
404,DAA-MH44S STINGRAY,WAGON R
405,DAA-HA36S,ALTO
406,DAA MH44A WAGON R,WAGON R
407,DAA MKI42S SPACIA,SPACIA
408,WAGON R DAA-MH44S,WAGON R
409,DAA-H55S WAGON R,WAGON R
410,HDB-DA17V-EVERY,EVERY
411,LA-HA23S ALTO,ALTO
412,UA-HT515,SWIFT
413,GBD-DA64V EVERY,EVERY
414,EVERYVAN,EVERY
415,EVERY ( V-DF51V),EVERY
416,DAA-MH448 WAGON R,WAGON R
417,GBD HA24V ALTO,ALTO
418,DBA-HA365S ALTO,ALTO
419,DBA-ZC21S SWIFT,SWIFT
420,CBA ZC31S SWIFTSPORT,SWIFT
421,GF-MA63S,WAGON R
422,SWIFT,SWIFT
423,V-DF51V,EVERY
424,STINGRAY VXI 0,WAGON R
425,ZEN ESTILO VXI,ESTILO
426,WAGON R FZ MH44S,WAGON R FZ
427,SWIFT ZC21S,SWIFT
428,SPRESSO VXI,MARUTI
429,EVERY DA62V,EVERY
430,SPACIA  MK42S,SPACIA
431,EVERY DA52V,EVERY
432,WAGON R FZ DAAMH55S,WAGON R FZ
433,WAGON R MC21S,WAGON R
434,EVERY DA17W,EVERY
435,BALENO K10C GLX,BALENO
436,ALTO HA24S,ALTO
437,EBD-DA64V EVERY,EVERY
438,EVERY PA 660 AUTO,EVERY
439,EVERY DE51V,EVERY
440,WAGON R INDIAN,WAGON R
441,SWIFT ESTEEM,SWIFT
442,LF-DA62V,EVERY
443,SWIFT ZC11S,SWIFT
444,ALTO LXI,ALTO LXI
445,EVERY DA52W,EVERY
446,SWIFT VXI,SWIFT
447,DAA-ZC53S SWIFT HYBRID,SWIFT
448,VITARA SZ-T BOOSTER JET AUTO,VITARA
449,LIANA,LIANA
450,ALTO SB308GA,ALTO
451,ERTIGA ZXI,MARUTI
452,MARUTI ERTIGA LXI,MARUTI
