,model,map_model_name
304,DBA-JW5 S660 SPORT,S660
305,6AA-ZE4,INSIGHT
306,HONDA,CRV
307,ORAND CIVIC,CIVIC
308,CIVIC-EG8,CIVIC
309,SPIKE,FREED
310,DAA-ZE2 HYBRID INSIGHT,INSIGHT
311,DAA-ZE2 HYBRID,INSIGHT
312,DBA-GD6,FIT ARIA
313,UA-GD1,FIT
314,DAA-DM4-GRACE,GRACE
315,VEZEL RU3,VEZEL
316,CITY-V,CITY
317,DA-GP5 FIT,FIT
318,DBA-RW1 CRV,CRV
319,DBA-GE6 FIT,FIT
320,INSIGHT DAA-ZE2,INSIGHT
321,DAA-ZF2 CR-Z,CRZ
322,CIVIC BRAND NEW,CIVIC
323,DAA-GPI FIT HYBRID,FIT
324,CRV,CRV
325,DBA-JF3 N-BOX CUSTOM,N BOX
326,E-EF2-CIVIC,CIVIC
327,CBA-RD7 CR-V,CRV
328,CIVIC 1.0 CVT,CIVIC
329,DAA-GPI FIT,FIT
330,CR-V 2.0L,CRV
331,LEB-H1 3056183 FIT,FIT
332,DAA-RU2 VEZEL,VEZEL
333,CIVIC-99,CIVIC
334,DBA-GD9 FIT,FIT
335,CIVIC EXT,CIVIC
336,CIVIC 1.0EX,CIVIC
337,CIVIC FERIO UA-ES1,CIVIC
338,CIVIC FK6,CIVIC
339,ED 325MP,CIVIC
340,CIVIC C9,CIVIC
341,CIVIC BRAND NEW,CIVIC
342,VEZEL HYBRID DAA-RU3,VEZEL
343,FIT 1.3A,FIT
344,ACCORD,ACCORD
345,VEZEL HYBRID Z DAA-RU3,VEZEL
346,ED 352 MP,CIVIC
347,CIVIC ED,CIVIC
348,DAA-RU3 VEZEL,VEZEL
349,N BOX,N BOX
350,CITY 1.5L 5MT,CITY
351,DAA-MH55S CIVIC,CIVIC
352,E-RD1,CRV
353,DBA-JH1N WGN,N WGN
354,FIT GD1,FIT
