brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price
HONDA,VEZEL,E HEV X,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,100,15650000
HONDA,VEZEL,Z - ORANGE PACKAGE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,155000,9450000
HONDA,FIT,HONDA FIT GP5 L,2014,AUTOMATIC,HATCHBACK,PETROL,1500,224000,8050000
HONDA,CRV,HIGHEST GRADE,2013,AUTOMATIC,SUV / 4X4,PETROL,2350,97000,13090000
HONDA,VEZEL,X HUNT PACKAGE,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,3000,16300000
HONDA,FIT,HONDA,2014,AUTOMATIC,HATCHBACK,PETROL,1490,100500,8300000
HONDA,N-WGN,2017,2017,AUTOMATIC,HATCHBACK,PETROL,650,73612,6600000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,111000,21200000
HONDA,VEZEL,RS SENSING,2017,AUTOMATIC,SUV / 4X4,PETROL,1500,42000,13500000
HONDA,CRV,CRV,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,103000,21500000
HONDA,CRV,HONDA,2019,AUTOMATIC,SUV / 4X4,PETROL,1498,75000,22000000
HONDA,VEZEL,2014,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,173939,9550000
HONDA,GRACE,0,2016,AUTOMATIC,0,PETROL,1500,176430,12800000
HONDA,CRV,0,2010,AUTOMATIC,0,PETROL,2350,140000,14900000
HONDA,FIT,GP1 2012,2012,AUTOMATIC,HATCHBACK,PETROL,1300,125000,6850000
HONDA,FIT,HONDA,2013,AUTOMATIC,HATCHBACK,PETROL,1500,126000,8300000
HONDA,CIVIC,SEDAN TECHPACK,2018,AUTOMATIC,SALOON,PETROL,1000,94000,15500000
HONDA,VEZEL,NON-HYBRID CVT,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,53000,15900000
HONDA,CRV,MASTERPIECE,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,50000,25675000
HONDA,VEZEL,0,2014,AUTOMATIC,HATCHBACK,PETROL,1800,224476,9600000
HONDA,CIVIC,TECH PACK,2018,AUTOMATIC,HATCHBACK,PETROL,1000,50400,15000000
HONDA,CRV,0,1997,AUTOMATIC,SUV / 4X4,PETROL,2000,220000,4200000
HONDA,FIT,HONDA,2008,AUTOMATIC,HATCHBACK,PETROL,1330,170000,5985000
HONDA,FIT,GP5 S GRADE 2015,2015,AUTOMATIC,HATCHBACK,PETROL,1500,57700,9750000
HONDA,VEZEL,VEZEL 2014,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,133000,11000000
HONDA,CRV,HONDA CR-V 2.0L,2015,AUTOMATIC,STATION WAGON,PETROL,1997,128500,18000000
HONDA,FIT SHUTTLE,HONDA,2013,AUTOMATIC,STATION WAGON,PETROL,1300,15600,8250000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,58000,23500000
HONDA,FIT,HONDA GP5 S GRADE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,98500,8850000
HONDA,CRV,HONDA,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,48200,21700000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,91000,22750000
HONDA,VEZEL,Z PLAY MOONROOF ,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,23950000
HONDA,VEZEL,2017,2017,AUTOMATIC,STATION WAGON,PETROL,1490,125000,14200000
HONDA,CRV,VTI-TURBO,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,116500,22000000
HONDA,CRV,VTI -L,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,132500,20750000
HONDA,CRV,MASTERPICE,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,91000,25000000
HONDA,CRV,MASTERPIECE JAPAN ,2018,AUTOMATIC,STATION WAGON,PETROL,1500,69000,27900000
HONDA,CRV,MASTERPIECE ,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,29000,25750000
HONDA,CIVIC,2016,2016,AUTOMATIC,SALOON,PETROL,1600,187000,13000000
HONDA,FIT ARIA,0,2008,AUTOMATIC,SALOON,PETROL,1500,170000,6000000
HONDA,N-WGN,0,2016,AUTOMATIC,HATCHBACK,PETROL,650,100150,6275000
HONDA,CRV,VVTI  AWD,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,86000,21000000
HONDA,FREED,HONDA FREED,2012,AUTOMATIC,MPV,PETROL,1500,240000,8500000
HONDA,FIT,GP1 2013,2013,AUTOMATIC,STATION WAGON,PETROL,1330,107000,7150000
HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,70000,23000000
HONDA,CIVIC,FD1,2007,AUTOMATIC,HATCHBACK,PETROL,1800,95000,7550000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,25000,27900000
HONDA,CIVIC,0,2017,AUTOMATIC,SALOON,PETROL,1000,29000,13700000
HONDA,VEZEL,Z-GRADE ORANGE PKG,2014,AUTOMATIC,0,PETROL,1500,160000,10200000
HONDA,CRV,2008,2008,AUTOMATIC,SUV / 4X4,PETROL,2000,240000,9300000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,87000,21000000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,124000,23000000
HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,100000,22500000
HONDA,CRV,2018 MASTERPIECE,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,96000,22000000
HONDA,FIT,GP1,2012,AUTOMATIC,HATCHBACK,PETROL,1500,135000,7200000
HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,112000,19500000
HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,104000,21500000
HONDA,CIVIC,CIVIC EX (TECH PACK),2017,AUTOMATIC,HATCHBACK,PETROL,1000,125000,14000000
HONDA,N-WGN,0,2015,AUTOMATIC,HATCHBACK,PETROL,650,77000,6650000
HONDA,VEZEL,2014,2014,AUTOMATIC,HATCHBACK,PETROL,1490,153700,9600000
HONDA,CIVIC,EG8,1994,AUTOMATIC,SALOON,PETROL,1500,56000,4200000
HONDA,VEZEL,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,72000,16500000
HONDA,ACCORD,2000,2000,AUTOMATIC,SALOON,PETROL,2000,215000,4111000
HONDA,CRV,VTI-LX FULLY LOADED,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,60000,26500000
HONDA,ACCORD,2020,2020,AUTOMATIC,SALOON,PETROL,1800,28000,27950000
HONDA,GRACE,HONDA GRACE,2014,AUTOMATIC,0,PETROL,1500,94700,10375000
HONDA,CRV,RD1 1STOWNER JF-2004,1998,AUTOMATIC,SUV / 4X4,PETROL,1980,141000,4975000
HONDA,ACCORD,EX-FULL SPEC,2019,AUTOMATIC,SALOON,PETROL,1500,15000,27900000
HONDA,VEZEL,HONDA VEZEL RS,2018,AUTOMATIC,HATCHBACK,PETROL,1490,70150,16100000
HONDA,FIT,2013,2013,AUTOMATIC,HATCHBACK,PETROL,1300,147247,6350000
HONDA,VEZEL,0,2014,AUTOMATIC,HATCHBACK,PETROL,1500,155151,9850000
HONDA,CRV,CRV AUSTRALIAN,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,48000,23200000
HONDA,FIT,2014,2014,AUTOMATIC,HATCHBACK,PETROL,1300,130400,6850000
HONDA,ACCORD,2013,2013,AUTOMATIC,SALOON,HYBRID,2000,177000,12975000
HONDA,INSIGHT,ZE2,2010,AUTOMATIC,SALOON,HYBRID,1300,162000,6950000
HONDA,VEZEL,2014,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,170000,9400000
HONDA,VEZEL,Z PLAY - MOONROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,20800000
HONDA,FIT,GP5,2014,AUTOMATIC,HATCHBACK,HYBRID,1500,96000,8290000
HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10,20800000
HONDA,VEZEL,HYBRID 1500 CC Z,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,92000,10500000
HONDA,VEZEL,RS SENSING ,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,89000,13450000
HONDA,FREED,Z ORANGE ,2013,AUTOMATIC,HATCHBACK,HYBRID,1500,155000,10500000
HONDA,VEZEL,Z PACKAGE MUGAN KIT,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,9017,19600000
HONDA,VEZEL,Z PLAY PACKAGE,2025,AUTOMATIC,STATION WAGON,HYBRID,1500,4,21000000
HONDA,VEZEL,Z PLAY PANORAMICROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,20800000
HONDA,VEZEL,2025,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,4,17500000
HONDA,VEZEL,2023,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,15000,16800000
HONDA,VEZEL,Z PLAY PANAROMICROOF,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,20600000
HONDA,VEZEL,RS SENSING 2017,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,112500,13340000
HONDA,FIT,GP5,2013,AUTOMATIC,HATCHBACK,HYBRID,1500,82000,8275000
HONDA,FIT,GP5,2015,AUTOMATIC,STATION WAGON,HYBRID,1500,143000,8580000
HONDA,VEZEL,Z GRADE,2023,AUTOMATIC,HATCHBACK,HYBRID,1500,13000,16600000
HONDA,VEZEL,Z GRADE,2023,AUTOMATIC,HATCHBACK,HYBRID,1500,15000,16800000
HONDA,VEZEL,Z PLAY - MOONROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,9,20600000
HONDA,FIT,GP5-L,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,97000,8500000
HONDA,CIVIC,FD3 HYBRID,2008,AUTOMATIC,SALOON,HYBRID,1300,170000,7200000
HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,9000,20600000
HONDA,VEZEL,Z GRADE ORANGE,2014,AUTOMATIC,SUV / 4X4,HYBRID,1490,68000,10850000
HONDA,VEZEL,Z GRADE ORANGE PACK,2014,AUTOMATIC,HATCHBACK,HYBRID,1490,112800,9700000
HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10,20800000
HONDA,FIT,GP5,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,158000,8300000
HONDA,VEZEL,Z GRADE,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,4,17900000
HONDA,VEZEL,Z PLAY,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,18,20600000
HONDA,VEZEL,RS SENSING 65000KMS,2016,AUTOMATIC,SUV / 4X4,HYBRID,1500,65000,13990000
HONDA,GRACE,EX MODEL,2015,AUTOMATIC,SALOON,HYBRID,1500,83000,11000000
HONDA,FIT SHUTTLE,0,2013,AUTOMATIC,STATION WAGON,HYBRID,1330,125000,8990000
HONDA,FIT,GP5,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,126000,8990000
HONDA,VEZEL,Z / E:HEV,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,4,17500000
HONDA,VEZEL,Z PLAY / MOONROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,20800000
HONDA,VEZEL,Z GRADE / E:HEV,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,2,17500000
HONDA,FIT,GP 5,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,98000,8890000
HONDA,GRACE,0,2016,AUTOMATIC,SALOON,HYBRID,1500,116000,10800000
HONDA,VEZEL,0,2014,AUTOMATIC,SUV / 4X4,HYBRID,1490,123617,10890000
HONDA,FIT,GP1,2012,AUTOMATIC,HATCHBACK,HYBRID,1330,15500,6590000
HONDA,VEZEL,Z PLAY  MOON ROOF,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,19500000
HONDA,FIT,GP5,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,108500,8550000
HONDA,VEZEL,VEZEL RS SENSING,2016,AUTOMATIC,SUV / 4X4,HYBRID,1500,109000,12550000
HONDA,VEZEL,E:HEV Z PLAY,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,20600000
HONDA,VEZEL,E:HEV Z PLAY,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,20800000
HONDA,VEZEL,Z GRADE,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,4,17900000
HONDA,FIT,FIT GP5 S GRADE,2013,AUTOMATIC,HATCHBACK,HYBRID,1500,112000,7875000
HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10,20800000
HONDA,VEZEL,Z PLAY,2025,AUTOMATIC,HATCHBACK,HYBRID,1500,2,20600000
HONDA,FIT,GP 1,2011,AUTOMATIC,HATCHBACK,HYBRID,1390,208000,6200000
HONDA,VEZEL,0,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,146000,9800000
HONDA,VEZEL,HONDA VEZEL,2016,AUTOMATIC,HATCHBACK,HYBRID,1500,122000,12300000
HONDA,FIT,GP5 S GRADE ,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,81000,9690000
HONDA,GRACE,EX GRADE ,2015,AUTOMATIC,SALOON,HYBRID,1500,116000,11050000
HONDA,VEZEL,E:HEV Z,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,15400,16800000
HONDA,VEZEL,E:HEV Z,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,17900000
HONDA,VEZEL,E:HEV Z,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,17500000
HONDA,GRACE,EX  GRADE ,2015,AUTOMATIC,SALOON,HYBRID,1500,80000,11090000
HONDA,VEZEL,2024,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,20800000
HONDA,VEZEL,2017 1ST OWNER,2017,AUTOMATIC,HATCHBACK,HYBRID,1500,126000,11800000
