,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price,COMBINED
23,HONDA,CRV,EX MASTERPIECE JAPAN,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,47000,25000000,CRV EX MASTERPIECE JAPAN
24,HONDA,CRV,7 SEATER,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,72000,20500000,CRV 7 SEATER
25,HONDA,CRV,VTI-L 2WD,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,20000,26500000,CRV VTI-L 2WD
26,HONDA,GRACE,0,2014,AUTOMATIC,SALOON,PETROL,1500,170000,11000000,GRACE 0
27,HONDA,CIVIC,TECHPACK SEDAN,2019,AUTOMATIC,SALOON,PETROL,1000,48000,14700000,CIVIC TECHPACK SEDAN
28,HONDA,CITY,RS,2025,AUTOMATIC,SALOON,PETROL,1000,0,14995000,CITY RS
29,HONDA,FIT,GP 5,2014,AUTOMATIC,HATCHBACK,PETROL,1500,132000,7650000,FIT GP 5
30,HONDA,GRACE,EX,2016,AUTOMATIC,SALOON,PETROL,1500,101000,10500000,GRACE EX
31,HONDA,VEZEL,Z PLAY,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,1000,20800000,VEZEL Z PLAY
32,HONDA,FIT,GP 4,2013,AUTOMATIC,HATCHBACK,PETROL,1500,108000,7500000,FIT GP 4
33,HONDA,VEZEL,RS SENSING LED,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,82000,14850000,VEZEL RS SENSING LED
34,HONDA,CRV,0,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,103000,21000000,CRV 0
35,HONDA,S660,( 2017 - 2018 ),2017,AUTOMATIC,HATCHBACK,PETROL,650,30000,7490000,S660 ( 2017 - 2018 )
36,HONDA,GRACE,EX,2015,AUTOMATIC,SALOON,PETROL,1500,140000,9875000,GRACE EX
37,HONDA,FIT,GP1,2011,AUTOMATIC,HATCHBACK,PETROL,1300,153000,6650000,FIT GP1
38,HONDA,CIVIC,EX TECH,2018,AUTOMATIC,0,PETROL,1000,107000,12900000,CIVIC EX TECH
39,HONDA,CRV,V TEC TURBO,2024,AUTOMATIC,STATION WAGON,PETROL,1500,0,30990000,CRV V TEC TURBO
40,HONDA,CRV,V TEC TURBO,2024,AUTOMATIC,STATION WAGON,PETROL,1500,0,30960000,CRV V TEC TURBO
41,HONDA,GRACE,EX,2016,AUTOMATIC,SALOON,PETROL,1500,98636,11500000,GRACE EX
42,HONDA,CRV,FULL OPTION,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,44000,22800000,CRV FULL OPTION
43,HONDA,GRACE,2015,2015,AUTOMATIC,SALOON,PETROL,1500,128000,9999000,GRACE 2015
44,HONDA,VEZEL,Z ORANGE,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,150000,9800000,VEZEL Z ORANGE
