Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-crv-v-vti-l7-2023-for-sale-colombo-3,Honda CRV V-VTI L7 2023,"Posted on 19 Nov 5:07 pm, Kohuwala, Colombo112views",Honda,CRV,0,V-VTI L7 ,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,500 cc","7,000 km","Rs 29,990,000"
https://ikman.lk/en/ad/honda-n-box-l-safety-2023-for-sale-gampaha,Honda N-Box L SAFETY 2023,"Posted on 19 Nov 4:59 pm, Kandana, Gampaha28views",Honda,N-Box,0,L SAFETY,2023,Reconditioned,Automatic,Hatchback,Petrol,660 cc,"9,000 km","Rs 8,750,000"
https://ikman.lk/en/ad/honda-crv-2008-for-sale-gampaha-3,Honda CRV 2008,"Posted on 10 Nov 2:26 pm, Nittambuwa, Gampaha2373views",Honda,CRV,0,2008,2008,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","200,000 km","Rs 8,500,000"
https://ikman.lk/en/ad/honda-crv-vti-l7-7-seater-2025-for-sale-colombo-35,Honda CRV VTI-L7 â 7 Seater 2025,"Posted on 19 Nov 3:53 pm, Malabe, Colombo140views",Honda,CRV,0,VTI-L7 â 7 Seater,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 29,800,000"
https://ikman.lk/en/ad/honda-crv-vti-l-5-seater-2025-for-sale-colombo-2,Honda CRV VTI-Lâ 5 Seater 2025,"Posted on 19 Nov 3:47 pm, Malabe, Colombo141views",Honda,CRV,0,VTI-Lâ 5 Seater,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 28,200,000"
https://ikman.lk/en/ad/honda-crv-masterpiece-2019-for-sale-puttalam-1,Honda CRV Masterpiece 2019,"Posted on 20 Nov 3:32 pm, Chilaw, Puttalam857views",Honda,CRV,0,Masterpiece,2019,Used,Automatic,Hatchback,Petrol,"1,500 cc","99,500 km","Rs 18,900,000"
https://ikman.lk/en/ad/honda-fit-gp-1-2010-for-sale-kandy-1,Honda Fit GP1 2010,"Posted on 19 Nov 2:32 pm, Kandy City, Kandy354views",Honda,Fit,0,GP1,2010,Used,Automatic,Hatchback,Petrol,"1,330 cc","196,000 km","Rs 6,100,000"
https://ikman.lk/en/ad/honda-vezel-z-apple-carplay-2025-for-sale-colombo-3,Honda Vezel Z Apple CarPlay 2025,"Posted on 19 Nov 1:13 pm, Nugegoda, Colombo210views",Honda,Vezel,0,Z Apple CarPlay,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 18,750,000"
https://ikman.lk/en/ad/honda-n-wgn-2023-for-sale-kandy-1,Honda N-WGN 2023,"Posted on 19 Nov 12:54 pm, Kandy City, Kandy113views",Honda,N-WGN,0,0,2023,Reconditioned,Automatic,Hatchback,Petrol,650 cc,"10,000 km","Rs 7,980,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-362,Honda City RS Turbo 2025,"Posted on 19 Nov 12:42 pm, Kotte, Colombo158views",Honda,City,0,RS Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,400,000"
https://ikman.lk/en/ad/honda-grace-2014-for-sale-galle-2,Honda Grace 2014,"Posted on 19 Nov 12:40 pm, Hikkaduwa, Galle111views",Honda,Grace,0,0,2014,Used,Automatic,Saloon,Petrol,"1,500 cc","118,000 km","Rs 9,500,000"
https://ikman.lk/en/ad/honda-city-rs-2025-for-sale-colombo-178,Honda City RS 2025,"Posted on 19 Nov 12:36 pm, Kotte, Colombo188views",Honda,City,0,RS,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,400,000"
https://ikman.lk/en/ad/honda-city-turbo-rs-2025-for-sale-colombo-23,Honda City Turbo RS 2025,"Posted on 19 Nov 12:12 pm, Kotte, Colombo105views",Honda,City,0,Turbo RS,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,400,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-361,Honda City RS Turbo 2025,"Posted on 19 Nov 12:07 pm, Kohuwala, Colombo43views",Honda,City,0,RS Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,500,000"
https://ikman.lk/en/ad/honda-vezel-z-play-2024-for-sale-colombo-148,Honda Vezel Z Play 2024,"Posted on 19 Nov 11:57 am, Dehiwala, Colombo72views",Honda,Vezel,0,Z Play,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,500 cc","9,000 km","Rs 20,700,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-360,Honda City Rs Turbo 2025,"Posted on 19 Nov 11:43 am, Athurugiriya, Colombo93views",Honda,City,0,Rs Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",135 km,"Rs 14,000,000"
https://ikman.lk/en/ad/honda-fit-2012-for-sale-gampaha-901,Honda Fit 2012,"Posted on 21 Nov 8:37 am, Negombo, Gampaha398views",Honda,Fit,0,0,2012,Used,Automatic,Hatchback,Petrol,"1,399 cc","187,300 km","Rs 6,550,000"
https://ikman.lk/en/ad/honda-city-rs-white-2025-for-sale-kandy-3,Honda City RS WHITE 2025,"Posted on 19 Nov 10:22 am, Kandy City, Kandy81views",Honda,City,0,RS WHITE,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,375,000"
https://ikman.lk/en/ad/honda-city-rs-2025-for-sale-kandy-36,Honda City RS 2025,"Posted on 19 Nov 10:20 am, Kandy City, Kandy106views",Honda,City,0,RS,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,275,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-359,Honda City RS Turbo 2025,"Posted on 19 Nov 10:00 am, Rajagiriya, Colombo60views",Honda,City,0,RS Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,500 cc",0 km,"Rs 14,550,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-358,Honda City RS Turbo 2025,"Posted on 19 Nov 9:57 am, Rajagiriya, Colombo56views",Honda,City,0,RS Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,500 cc",0 km,"Rs 14,550,000"
https://ikman.lk/en/ad/honda-crv-1997-for-sale-colombo-35,Honda CRV 1997,"Posted on 19 Nov 9:25 am, Malabe, Colombo69views",Honda,CRV,0,0,1997,Used,Automatic,Hatchback,Petrol,"1,970 cc","204,287 km","Rs 5,495,000"
https://ikman.lk/en/ad/honda-city-sv-2025-for-sale-colombo-15,Honda City SV 2025,"Posted on 19 Nov 9:13 am, Malabe, Colombo126views",Honda,City,0,SV,2025,Import,Automatic,Saloon,Petrol,988 cc,77 km,"Rs 13,490,000"
https://ikman.lk/en/ad/honda-step-wagon-spada-2023-for-sale-gampaha-1,Honda Step Wagon Spada 2023,"Posted on 19 Nov 2:44 pm, Ja-Ela, Gampaha126views",Honda,Step Wagon,0,Spada,2023,Reconditioned,Automatic,Station wagon,Petrol,"1,500 cc","21,000 km","Rs 26,500,000"
https://ikman.lk/en/ad/honda-fit-gp1-shes-2012-for-sale-matara-16,Honda Fit Gp1 She's 2012,"Posted on 19 Nov 6:14 am, Matara City, Matara128views",Honda,Fit,0,Gp1 She's,2012,Used,Automatic,Hatchback,Petrol,"1,330 cc","113,000 km","Rs 6,690,000"
https://ikman.lk/en/ad/honda-vezel-z-play-2025-for-sale-matara-5,Honda Vezel Z Play 2025,"Posted on 19 Nov 5:44 am, Matara City, Matara146views",Honda,Vezel,0,Z Play,2025,Brand New,Automatic,Hatchback,Petrol,"1,496 cc",20 km,Rs 245
https://ikman.lk/en/ad/honda-grace-ex-package-2019-for-sale-colombo-27,Honda Grace EX Package 2019,"Posted on 18 Nov 6:27 pm, Moratuwa, Colombo267views",Honda,Grace,0,EX Package,2019,Used,Automatic,0,Petrol,"1,500 cc","105,400 km","Rs 10,975,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-package-2025-for-sale-ratnapura-4,Honda City Rs Turbo Package 2025,"Posted on 18 Nov 4:38 pm, Ratnapura City, Ratnapura188views",Honda,City,0,Rs Turbo Package,2025,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km,"Rs 14,200,000"
https://ikman.lk/en/ad/honda-civic-sr-2018-for-sale-kegalle-3,Honda Civic SR 2018,"Posted on 18 Nov 4:34 pm, Kegalle City, Kegalle701views",Honda,Civic,0,SR,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","43,600 km","Rs 12,850,000"
